"State","Quality of patient care star rating","How often the home health team began their patients’ care in a timely manner","How often the home health team taught patients (or their family caregivers) about their drugs","How often the home health team checked patients’ risk of falling","How often the home health team checked patients for depression","How often the home health team determined whether patients received a flu shot for the currnet flu season","How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot)","With diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care","How often patients got better at walking or moving around","How often patients got better at getting in and out of bed","How often patients got better at bathing","How often patients had less pain when moving around","How often patients’ breathing improved","How often patients’ wounds improved or healed after an operation","How often patients got better at taking their drugs correctly by mouth","How often home health patients had to be admitted to the hospital","How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted"
"AK","2.5","81.3","97.0","99.5","93.3","66.6","79.1","97.7","60.4","57.1","62.1","58.0","62.0","86.7","47.4","15.3","15.8"
"AL","3.5","95.0","98.6","99.7","97.8","77.1","79.3","97.6","76.5","71.3","80.3","79.6","78.2","92.5","66.1","18.4","12.2"
"AR","3.5","95.2","97.4","99.6","98.5","77.7","82.0","97.1","75.8","73.2","80.7","77.6","76.1","92.7","66.2","18.5","13.6"
"AZ","3.5","94.9","98.4","99.6","98.0","77.3","81.6","97.9","68.4","68.0","74.8","73.4","75.2","87.0","60.1","15.0","13.9"
"CA","3.5","91.0","97.6","99.3","97.8","76.9","80.2","97.3","69.0","65.4","73.2","77.5","74.1","92.1","58.1","15.2","11.7"
"CO","3.5","94.7","96.7","99.6","97.7","81.8","86.4","96.7","71.7","69.7","78.0","73.7","77.3","92.1","60.8","15.6","14.6"
"CT","3.0","95.4","96.6","99.2","97.7","73.3","77.7","95.5","68.1","64.2","68.7","70.1","70.8","91.4","57.3","17.5","13.6"
"DC","3.0","90.6","92.0","98.7","95.9","75.4","74.8","95.5","74.0","72.8","77.7","78.1","87.3","94.2","72.3","16.2","12.3"
"DE","3.5","94.6","99.1","99.4","97.6","79.6","80.0","97.7","72.0","70.2","75.7","78.9","76.1","87.9","61.1","16.9","12.6"
"FL","3.5","96.0","97.6","99.6","98.1","73.2","74.8","96.0","74.1","70.9","79.0","79.2","74.9","93.1","63.8","16.2","10.8"
"GA","3.5","91.7","98.0","99.5","97.5","76.4","77.8","96.7","73.2","69.7","75.6","75.9","76.1","91.2","61.9","17.0","14.1"
"GU","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"HI","3.0","93.8","98.4","98.9","96.6","77.0","85.9","98.0","66.0","64.7","69.8","70.4","76.0","82.7","53.2","13.9","15.6"
"IA","3.0","94.6","97.0","99.5","98.2","80.5","87.3","96.7","71.2","69.3","74.5","72.3","71.3","87.9","61.2","17.5","14.0"
"ID","3.5","96.2","98.0","99.5","98.8","78.2","84.3","97.5","73.4","72.5","78.4","74.4","79.3","93.8","64.1","15.3","14.8"
"IL","3.0","94.1","97.7","99.3","98.2","68.4","72.2","97.5","69.7","66.5","73.2","77.0","72.7","88.2","61.8","16.7","11.7"
"IN","3.0","92.2","97.5","99.4","97.9","74.7","79.6","95.8","69.6","68.6","72.3","73.3","72.2","89.9","59.7","17.1","13.2"
"KS","3.5","94.7","97.2","99.4","98.3","82.0","87.2","96.9","70.6","68.8","75.7","72.7","71.0","89.8","60.1","17.7","12.8"
"KY","3.5","94.7","97.4","99.7","98.9","76.7","80.9","97.3","74.8","72.8","76.6","76.0","76.8","91.0","64.1","17.9","13.1"
"LA","3.0","96.1","98.0","99.4","97.9","71.8","76.9","96.6","70.8","65.8","75.7","73.2","68.2","92.0","62.6","17.3","13.8"
"MA","3.0","94.7","98.2","99.4","97.9","76.1","81.0","96.9","72.4","70.6","73.2","75.0","72.7","92.2","62.1","17.8","12.4"
"MD","4.0","93.8","98.5","99.6","97.5","82.2","82.6","97.9","75.0","73.2","77.8","77.9","81.1","92.0","66.2","16.4","12.2"
"ME","3.5","89.9","97.2","99.8","97.7","77.9","85.0","97.1","70.1","69.8","71.5","72.8","68.1","89.5","56.4","17.7","15.9"
"MI","3.5","89.6","98.1","99.6","97.9","77.1","80.0","97.2","70.3","67.3","74.6","73.9","72.7","89.7","61.6","16.8","12.2"
"MN","2.5","90.2","96.5","99.2","97.0","81.0","90.2","96.4","67.2","64.1","68.4","67.6","66.9","85.7","53.6","17.4","13.2"
"MO","3.5","94.2","97.6","99.6","99.1","80.1","84.6","97.1","72.1","70.7","75.0","71.5","73.2","90.6","60.9","17.1","12.5"
"MP","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MS","3.5","95.5","98.7","99.2","98.5","74.8","78.2","97.6","76.8","71.9","80.6","79.0","75.9","93.3","68.8","18.5","13.6"
"MT","3.0","89.5","96.1","99.5","97.2","76.9","86.1","96.0","66.1","67.6","71.8","68.1","69.2","92.0","56.3","15.2","13.1"
"NC","3.5","93.1","97.8","99.7","97.6","81.4","84.9","96.5","71.9","70.2","73.6","74.6","76.3","90.6","59.6","16.3","14.2"
"ND","3.5","96.0","99.1","99.9","99.2","84.2","92.0","98.0","71.6","69.5","77.0","72.9","73.0","90.3","61.3","17.4","12.5"
"NE","3.5","95.5","97.3","99.7","96.9","85.6","90.9","97.2","70.9","69.6","74.7","75.6","73.1","84.5","59.3","16.6","12.2"
